,Market,Time,Open,High,Low,Close,Volume,Value,No. Trades,Taker Buy Volume,Taker Buy Value
2518,BTCUSDT,2018-01-02 17:58:00,13749.38,13799.65,13749.38,13793.5,7.936823,109357.99522645,138,4.581207,63130.45125033
2519,BTCUSDT,2018-01-02 17:59:00,13793.5,13799.65,13753.44,13780.0,9.760077,134529.00499374,86,6.864482,94634.88208731
2520,BTCUSDT,2018-01-02 18:00:00,13789.98,13797.79,13777.81,13797.79,16.469921,227107.92404903,85,12.7658,176036.61527469
2521,BTCUSDT,2018-01-02 18:01:00,13797.79,13799.0,13780.0,13797.79,31.807345,438865.98846261,115,11.600648,160074.46873401
2522,BTCUSDT,2018-01-02 18:02:00,13798.98,13798.98,13755.43,13797.74,7.042411,97083.9778774,102,6.110138,84243.69636986
2523,BTCUSDT,2018-01-02 18:03:00,13797.74,13807.18,13790.01,13807.18,21.304361,293970.77859169,162,18.690946,257917.72308004
2524,BTCUSDT,2018-01-02 18:04:00,13807.91,13837.0,13807.18,13837.0,6.188621,85539.14306757,107,4.016542,55520.91765912
2525,BTCUSDT,2018-01-02 18:05:00,13837.0,13879.0,13825.0,13878.99,19.619154,271818.94553243,201,14.627693,202654.89127758
2526,BTCUSDT,2018-01-02 18:06:00,13859.23,13909.0,13859.23,13909.0,28.849838,400778.96424522,256,20.530234,285259.42138978
2527,BTCUSDT,2018-01-02 18:07:00,13908.99,13980.99,13900.09,13931.0,32.447775,451975.19676489,282,19.475505,271432.99611511
2528,BTCUSDT,2018-01-02 18:08:00,13931.0,13979.98,13931.0,13938.0,13.923638,194124.5226985,136,8.775018,122377.21659374
2529,BTCUSDT,2018-01-02 18:09:00,13938.0,13943.72,13933.0,13943.71,18.110273,252444.10559597,106,10.997814,153330.39201666
2530,BTCUSDT,2018-01-02 18:10:00,13943.72,13989.0,13942.01,13985.85,14.725454,205604.51830185,151,9.795978,136781.88440697
2531,BTCUSDT,2018-01-02 18:11:00,13986.9,13999.0,13982.0,13999.0,30.135227,421721.32057805,194,23.376819,327196.68495584
2532,BTCUSDT,2018-01-02 18:12:00,13999.0,14067.99,13989.01,14024.87,46.456224,650677.7163529,350,38.042834,532859.62566219
2533,BTCUSDT,2018-01-02 18:13:00,14024.87,14025.0,13967.98,13971.14,26.542002,371916.26785047,211,12.439484,174320.19804152
2534,BTCUSDT,2018-01-02 18:14:00,13997.96,14050.0,13971.12,14024.99,23.889559,334656.75971657,151,14.006313,196180.6004345
2535,BTCUSDT,2018-01-02 18:15:00,14005.01,14067.99,13959.9,13959.9,21.78066,305145.85767281,205,6.889846,96737.55366777
2536,BTCUSDT,2018-01-02 18:16:00,13959.92,13996.81,13900.04,13930.0,24.062054,335539.35384482,210,12.719373,177458.51460096
2537,BTCUSDT,2018-01-02 18:17:00,13929.99,13999.01,13929.99,13965.17,16.69001,232987.60582688,150,8.767821,122434.15628314
2538,BTCUSDT,2018-01-02 18:18:00,13982.08,14026.08,13957.23,14026.08,15.082091,211146.0792744,174,5.146823,72095.66057222
2539,BTCUSDT,2018-01-02 18:19:00,14026.1,14050.9,14003.7,14033.91,12.156424,170575.58114711,154,3.370062,47299.2647616
2540,BTCUSDT,2018-01-02 18:20:00,14048.0,14074.64,14033.92,14054.99,14.381773,202136.33012687,225,6.314694,88767.73807015
2541,BTCUSDT,2018-01-02 18:21:00,14035.88,14100.0,14004.68,14100.0,31.719319,446355.71496601,251,25.959924,365390.3678396
2542,BTCUSDT,2018-01-02 18:22:00,14098.02,14137.99,14098.0,14129.0,21.657234,305469.49437331,186,15.269586,215380.06458304
2543,BTCUSDT,2018-01-02 18:23:00,14123.02,14150.0,14123.02,14140.0,27.398873,387489.43500999,231,14.532903,205551.75926348
2544,BTCUSDT,2018-01-02 18:24:00,14140.0,14180.0,14123.25,14180.0,20.666802,292496.36923614,143,11.853665,167798.36334389
2545,BTCUSDT,2018-01-02 18:25:00,14176.19,14231.0,14152.1,14231.0,18.955384,268930.9595658,180,14.542903,206393.72596988
2546,BTCUSDT,2018-01-02 18:26:00,14202.02,14280.3,14200.42,14270.43,43.57519,621464.44366854,311,15.703775,223913.78608683
2547,BTCUSDT,2018-01-02 18:27:00,14270.43,14366.01,14257.0,14315.01,23.959107,342606.31102781,274,16.053068,229627.54157102
2548,BTCUSDT,2018-01-02 18:28:00,14328.55,14382.71,14315.0,14340.02,20.650165,296309.27278494,232,7.940917,113977.65237325
2549,BTCUSDT,2018-01-02 18:29:00,14349.99,14388.88,14340.02,14370.0,31.040456,446024.96374863,229,7.246862,104136.79997595
2550,BTCUSDT,2018-01-02 18:30:00,14370.02,14500.0,14370.01,14400.0,32.784294,473059.63949938,326,26.446068,381825.96187596
2551,BTCUSDT,2018-01-02 18:31:00,14407.56,14463.03,14400.0,14450.0,31.305122,452146.92692668,389,7.009323,101258.72504217
2552,BTCUSDT,2018-01-02 18:32:00,14450.0,14502.0,14450.0,14502.0,34.640603,501544.29495273,347,20.357636,294950.1848057
2553,BTCUSDT,2018-01-02 18:33:00,14501.0,14560.0,14500.0,14560.0,18.054159,262254.63716183,273,7.794695,113298.21527878
2554,BTCUSDT,2018-01-02 18:34:00,14555.0,14587.57,14540.8,14587.57,23.315132,339552.73534493,205,12.862484,187323.3589371
2555,BTCUSDT,2018-01-02 18:35:00,14587.57,14635.0,14571.0,14635.0,23.51781,343495.70287971,285,13.009001,190083.56711658
2556,BTCUSDT,2018-01-02 18:36:00,14620.02,14649.0,14588.87,14635.0,34.114849,498898.00658635,327,17.048279,249390.61777359
2557,BTCUSDT,2018-01-02 18:37:00,14635.0,14635.01,14500.0,14550.03,63.601188,925659.03856085,614,25.344914,368960.70262354
2558,BTCUSDT,2018-01-02 18:38:00,14562.99,14600.0,14532.78,14562.01,39.759899,579251.66470098,284,15.740948,229280.24240914
2559,BTCUSDT,2018-01-02 18:39:00,14549.0,14562.01,14531.5,14560.0,22.287462,324388.957917,274,14.535963,211577.17931154
2560,BTCUSDT,2018-01-02 18:40:00,14540.01,14600.92,14540.01,14589.54,16.897265,246161.46377031,240,10.485561,152770.32811856
2561,BTCUSDT,2018-01-02 18:41:00,14589.54,14650.0,14589.54,14650.0,29.357992,429551.82175141,268,21.315457,311873.36951283
2562,BTCUSDT,2018-01-02 18:42:00,14640.56,14694.49,14640.56,14691.21,61.151568,895928.91537156,283,56.505535,827869.27106742
2563,BTCUSDT,2018-01-02 18:43:00,14691.21,14700.0,14670.0,14692.0,35.508681,521829.94027349,380,25.361,372730.89846074
2564,BTCUSDT,2018-01-02 18:44:00,14692.0,14700.0,14670.0,14682.93,16.140927,237096.92580553,254,14.435125,212057.47306636
2565,BTCUSDT,2018-01-02 18:45:00,14682.92,14732.01,14664.8,14672.02,33.327862,489698.23900394,291,23.207666,341033.62176472
2566,BTCUSDT,2018-01-02 18:46:00,14685.06,14750.0,14560.99,14599.0,43.450995,636163.32630937,462,25.92804,379933.68563714
2567,BTCUSDT,2018-01-02 18:47:00,14584.11,14662.0,14583.87,14661.99,30.403491,444090.39566538,297,15.302132,223596.59646418
2568,BTCUSDT,2018-01-02 18:48:00,14650.0,14734.39,14623.8,14734.0,22.243307,326970.65287048,273,7.904135,116173.7006578
2569,BTCUSDT,2018-01-02 18:49:00,14734.0,14738.25,14600.0,14632.0,25.723459,377690.86831067,365,13.483847,197975.58203711
2570,BTCUSDT,2018-01-02 18:50:00,14631.99,14632.51,14270.43,14505.0,59.965838,868118.31325099,508,25.815862,373510.77950082
2571,BTCUSDT,2018-01-02 18:51:00,14455.8,14522.21,14412.62,14457.71,45.386723,657320.46728403,385,15.902348,230329.27400702
2572,BTCUSDT,2018-01-02 18:52:00,14455.0,14499.99,14440.26,14462.55,36.488197,527541.52513852,268,16.446103,237836.20301901
2573,BTCUSDT,2018-01-02 18:53:00,14462.55,14542.89,14450.0,14525.18,20.698902,299836.02509633,223,9.227658,133739.62248911
2574,BTCUSDT,2018-01-02 18:54:00,14534.79,14589.85,14500.97,14589.85,20.27956,294897.99532109,242,7.540977,109696.18433493
2575,BTCUSDT,2018-01-02 18:55:00,14584.03,14589.84,14540.45,14545.04,20.981468,305447.73413625,192,10.526156,153255.76147196
2576,BTCUSDT,2018-01-02 18:56:00,14545.04,14569.95,14545.0,14560.78,8.322074,121086.84260383,129,3.566683,51911.86389254
2577,BTCUSDT,2018-01-02 18:57:00,14559.97,14620.0,14556.74,14620.0,11.265349,164287.28904583,180,7.27445,106108.74901692
2578,BTCUSDT,2018-01-02 18:58:00,14599.0,14632.52,14589.88,14624.02,6.062866,88603.9679562,169,3.469311,50711.1448422
2579,BTCUSDT,2018-01-02 18:59:00,14624.02,14647.01,14565.72,14580.0,25.279163,369270.76711973,200,9.087563,132697.29962681
2580,BTCUSDT,2018-01-02 19:00:00,14576.87,14600.0,14516.29,14599.99,17.790543,259204.8751855,166,6.772565,98738.01559861
2581,BTCUSDT,2018-01-02 19:01:00,14580.0,14591.97,14540.5,14540.97,14.067946,204788.20822392,138,7.410949,107895.34919141
2582,BTCUSDT,2018-01-02 19:02:00,14540.97,14540.98,14480.0,14535.62,24.682684,358266.04374034,216,15.254942,221457.26818375
2583,BTCUSDT,2018-01-02 19:03:00,14535.62,14545.5,14501.0,14545.5,17.215244,250121.033099,160,2.347235,34119.04303079
2584,BTCUSDT,2018-01-02 19:04:00,14535.63,14549.99,14535.63,14548.99,8.592044,124966.63430529,146,5.366757,78070.31742433
2585,BTCUSDT,2018-01-02 19:05:00,14542.01,14549.0,14537.0,14548.0,10.185141,148143.32767229,118,5.101005,74198.34206552
2586,BTCUSDT,2018-01-02 19:06:00,14548.0,14600.0,14540.02,14600.0,12.517662,182301.55945789,140,8.663206,126149.59488527
2587,BTCUSDT,2018-01-02 19:07:00,14600.0,14612.56,14569.02,14581.89,9.342763,136381.34403484,180,5.981209,87322.8573002
2588,BTCUSDT,2018-01-02 19:08:00,14600.0,14640.52,14582.01,14629.98,16.455362,240288.67771745,183,11.322802,165338.82439167
2589,BTCUSDT,2018-01-02 19:09:00,14629.98,14678.7,14600.01,14633.04,11.698305,171139.4847984,139,6.642224,97231.39503457
2590,BTCUSDT,2018-01-02 19:10:00,14633.05,14750.0,14633.05,14741.75,22.103417,324768.0775996,235,14.889127,218807.22750992
2591,BTCUSDT,2018-01-02 19:11:00,14725.21,14800.0,14720.88,14800.0,29.052596,428834.25971279,328,20.259518,299119.11006282
2592,BTCUSDT,2018-01-02 19:12:00,14800.0,14880.0,14800.0,14869.19,20.774504,308483.68799041,291,15.158502,225154.37635672
2593,BTCUSDT,2018-01-02 19:13:00,14869.19,14899.0,14860.01,14899.0,27.695459,412321.10704978,445,15.89737,236730.33683126
2594,BTCUSDT,2018-01-02 19:14:00,14899.0,14935.69,14898.27,14930.0,30.813704,459550.24434283,329,25.077663,373965.63570965
